Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Linha
411269,NESTLE Creme de Leite Uht 27x200g BR    ,0401.50.21      ,7891000126905,,17891000012694,114,LEITES CULINARIOS,99,CREME TP,Nestlé
411403,NINHO Leite em Po Integral 24x400g BR   ,0402.21.10      ,7891000140307,,17891000014032,113,LEITE EM PO,95,NINHO TRAD/INST LATA,Nestlé
411422,NINHO Leite em Po Inst 24x400g BR       ,0402.21.10      ,7891000142202,,17891000014223,113,LEITE EM PO,95,NINHO TRAD/INST LATA,Nestlé
411541,MOCA Doce de Leite 48x390g BR           ,1901.90.20      ,7891000154106,,17891000015411,114,LEITES CULINARIOS,101,MOCA DOCE DE LEITE,Nestlé
412340,NUTREN ACTIVE PBIO1 Baunilha 12x400g BR ,1901.90.90      ,7891000234006,,17891000003692,112,HEALTH SCIENCE,77,NUTREN ACTIVE,Nestlé
412341,NUTREN ACTIVE PBIO1 Chocolate 12x400g BR,2106.90.30      ,7891000234105,,17891000003708,112,HEALTH SCIENCE,77,NUTREN ACTIVE,Nestlé
412342,NUTREN ACTIVE PBIO1 Morango 12x400g BR  ,1901.90.90      ,7891000234204,,17891000003715,112,HEALTH SCIENCE,77,NUTREN ACTIVE,Nestlé
412397,NESCAFE TRADICAO Sachet 24X50g XW       ,2101.11.10      ,7891000010860,,17891000008857,118,NESCAFE,125,NESCAFE SACHET,Nestlé
412521,NESTLE Farinha Lactea Trad 24x400g BR   ,1901.10.20      ,7891000252604,,17891000025212,106,CEREAIS FAMILIA,35,FARINHA LACTEA LATA,Nestlé
412681,NESTON Vitamina MrgPB 24x400g BR        ,1104.29.00      ,7891000268100,,17891000026813,106,CEREAIS FAMILIA,41,NESTON VITAMINA LATA,Nestlé
412685,NESTON Vitamina MamaoBM 24x400g BR      ,1104.29.00      ,7891000268506,,17891000026851,106,CEREAIS FAMILIA,41,NESTON VITAMINA LATA,Nestlé
413067,NESCAFE ORIGINAL Sachet 24x50g XW       ,2101.11.10      ,7891000306703,,17891000030674,118,NESCAFE,125,NESCAFE SACHET,Nestlé
413152,NESCAFE Matinal Sachet 24x50g XW        ,2101.11.10      ,7891000315200,,17891000031527,118,NESCAFE,125,NESCAFE SACHET,Nestlé
413288,NESCAFE Com Leite 12x330g N1 BR         ,2101.11.90      ,7891000006290,,17891000005238,118,NESCAFE,124,NESCAFE MIXES,Nestlé
413335,NESTLE CORN FLAKES Cer Mat 20x240g BR   ,1904.10.00      ,7891000002186,,17891000001988,107,CEREAIS MATINAIS,45,DEMAIS CEREAIS MATINAIS,Nestlé
413349,NESFIT Cereal Matinal 20x300g BR        ,1904.10.00      ,7891000001516,,17891000001315,107,CEREAIS MATINAIS,48,NESFIT,Nestlé
413356,MOCA FLAKES Cereal Matinal 20x330g BR   ,1904.10.00      ,7891000006634,,17891000005399,107,CEREAIS MATINAIS,45,DEMAIS CEREAIS MATINAIS,Nestlé
413695,SNOW FLAKES Cereal Matinal 14x620g BR   ,1904.10.00      ,7891000369500,,17891000036959,107,CEREAIS MATINAIS,49,SNOW,Nestlé
