Empresa,Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Cadastras
NESTLE,412342,NUTREN ACTIVE PBIO1 Morango 12x400g BR  ,1901.90.90      ,7891000234204,,17891000003715,112,HEALTH SCIENCE,77,NUTREN ACTIVE,Sim
NESTLE,412343,NUTREN ACTIVE PBIO1 Banana 12x400g BR   ,1901.90.90      ,7891000234303,,17891000003722,112,HEALTH SCIENCE,77,NUTREN ACTIVE,Não
NESTLE,412344,NUTREN ACTIVE PBIO1 Baun Sac 120x31 5gBR,1901.90.90      ,7891000005026,,17891000004071,,,,,Não
NESTLE,412397,NESCAFE TRADICAO Sachet 24X50g XW       ,2101.11.10      ,7891000010860,,17891000008857,118,NESCAFE,125,NESCAFE SACHET,Sim
NESTLE,412437,CLASSIC Chocolate ao Leite 4 12x170g  BR,1806.32.10      ,7891000010983,7891000010990,17891000008956,,,,,Não
NESTLE,412438,GALAK Chocolate 4 12x170g  BR           ,1704.90.10      ,7891000011041,7891000011058,17891000008987,,,,,Não
NESTLE,412439,ALPINO Chocolate 4 12x170g  BR          ,1806.32.10      ,7891000011027,7891000011034,17891000008970,,,,,Não
NESTLE,412443,CLASSIC Choc Meio Amargo 4 12x170g  BR  ,1806.32.10      ,7891000011003,7891000011010,17891000008963,,,,,Não
NESTLE,412451,CLASSIC Choc Cstn de Caju 4 12x160g  BR ,1806.32.10      ,7891000011096,7891000011102,17891000009014,108,CHOCOLATES NESTLE,56,JUMBOS NESTLE,Não
NESTLE,412486,MUCILON Arroz Cereal 18x400g BR         ,1901.10.90      ,7891000011287,,17891000009243,,,,,Não
NESTLE,412487,MUCILON Milho Cereal 18x400g BR         ,1901.10.90      ,7891000011294,,17891000009250,,,,,Não
NESTLE,412488,NESTON 3 Cereais 18x400g BR             ,1104.29.00      ,7891000011300,,17891000009267,,,,,Não
NESTLE,412497,NESCAU ACTGE Bebida Lactea 9 3x200ml  BR,2202.99.00EX01  ,7891000379103,,17891000037918,101,ACHOCOLATADOS RTD,3,RTD 200ML REGULAR,Não
NESTLE,412500,NESQUIK Bebida Lactea Mrg 9 3x200ml  BR ,2202.99.00      ,7891000389201,,17891000038922,101,ACHOCOLATADOS RTD,2,RTD 200ML ESPECIAIS,Não
NESTLE,412521,NESTLE Farinha Lactea Trad 24x400g BR   ,1901.10.20      ,7891000252604,,17891000025212,106,CEREAIS FAMILIA,35,FARINHA LACTEA LATA,Sim
NESTLE,412543,MAGGI Sopa Creme Queijo 12x78g BR       ,2104.10.11      ,7891000011553,7891000011560,17891000009519,117,MAGGI,116,DEMAIS SOPAS,Não
NESTLE,412550,NESTON Barra Bna Aveia Mel 30x75g BR    ,1904.20.00      ,7891000255001,,17891000025502,,,,,Não
NESTLE,412551,NESTON Barra Coco Tostado 30x75g BR     ,1904.20.00      ,7891000255100,,17891000025519,,,,,Não
NESTLE,412553,NESTON Barra Bna Aveia Mel 12 24x25g  BR,1904.20.00      ,7891000255308,7891000255315,17891000025533,,,,,Não
NESTLE,412554,NESTON Barra Coco Tostado 12 24x25g  BR ,1904.20.00      ,7891000255407,7891000255414,17891000025540,,,,,Não
NESTLE,412559,NESTON Barra Lt Dam Pess Mca 30x75g BR  ,1904.20.00      ,7891000255902,,17891000025595,,,,,Não
NESTLE,412562,NESTON Barra Lt Frt Silv Choc 30x75g BR ,1904.20.00      ,7891000002513,,17891000002312,,,,,Não
NESTLE,412579,GALAK CornFlakes Tablete 4x12x160g BR   ,1704.90.10      ,7891000012314,7891000012307,7891000012321,,,,,Não
NESTLE,412581,DIPLOMATA Chocolate 4 12x160g  BR       ,1806.32.10      ,7891000012369,7891000012376,7891000012383,,,,,Não
NESTLE,412582,CRUNCH Chocolate 4 12x160g  BR          ,1806.32.10      ,7891000012390,7891000012406,7891000012413,,,,,Não
NESTLE,412583,Ovo especial brinde presidencia 511x1BR ,1806.90.00      ,                  ,,                  ,,,,,Não
NESTLE,412624,CHEF NPro Base Demi Glace 6x400g XW     ,2106.90.90      ,7891000012482,,7891000012499,523,03-NP Culinários,4,03d-CHEF,Não
NESTLE,412629,CHEF Roti Carne NPro 6x400g XW          ,2106.90.90      ,7891000012505,,7891000012512,523,03-NP Culinários,4,03d-CHEF,Não
NESTLE,412631,CHEF Roti Aves NPro 6x400g XW           ,2106.90.90      ,7891000012529,,7891000012536,,,,,Não
NESTLE,412636,MUCILON Arroz 12x230g BR                ,1901.10.90      ,7891000012109,,7891000012116,,,,,Não
NESTLE,412640,MUCILON Milho 12x230g BR                ,1901.10.90      ,7891000012123,,7891000012130,,,,,Não
NESTLE,412681,NESTON Vitamina MrgPB 24x400g BR        ,1104.29.00      ,7891000268100,,17891000026813,106,CEREAIS FAMILIA,41,NESTON VITAMINA LATA,Sim
NESTLE,412685,NESTON Vitamina MamaoBM 24x400g BR      ,1104.29.00      ,7891000268506,,17891000026851,106,CEREAIS FAMILIA,41,NESTON VITAMINA LATA,Sim
NESTLE,412709,MOCA LC   CD 10x 790g 200g  PR BR       ,8524.32.00      ,7891000015247,,7891000015254,,,,,Não
NESTLE,412768,NESTLE HIGHLANDER SCM NPro 6x2.6kg NZ   ,0402.99.00      ,7891000015223,,7891000015230,,,,,Não
NESTLE,412824,IDEAL Lepo Sachet 50x200g BR            ,1901.10.10      ,7891000015391,,7891000015407,,,,,Não
NESTLE,412835,NESTLE Crema de Leche Light 48x300g XW  ,0401.50.29      ,7891000015360,,7891000015377,,,,,Não
NESTLE,412884,NESCAFE Cappuccino Latte 6x1300g XI     ,2101.12.00      ,7891000017562,,7891000017579,543,07-Nescafé Alegria,1,07-Nescafé Alegria,Não
NESTLE,412897,NESCAFE MOKACCINO 6x1 3kg XI            ,2101.11.90      ,7891000017548,,7891000017555,,,,,Não
NESTLE,412904,CRUNCH Ovo de Pascoa 15x240g BR         ,1806.90.00      ,7891000015704,,7891000015711,,,,,Não
NESTLE,412933,NESCAU GALAK Ball Ovo Pascoa 12x375g BR ,1806.90.00      ,7891000015780,,7891000015797,,,,,Não
NESTLE,412934,MOCA Ovo de Pascoa 12x375g BR           ,1806.90.00      ,7891000016503,,7891000016510,,,,,Não
NESTLE,413005,NESCAFE ORIGINAL Vidro 24x100g XR       ,2101.11.10      ,7891000300503,,17891000030056,,,,,Não
NESTLE,413006,NESCAFE ORIGINAL Vidro 12x200g XR       ,2101.11.10      ,7891000300602,,17891000030063,,,,,Não
NESTLE,413028,NESCAFE CAPPUCCINO Latte NPro 6x800g BR ,2101.11.90      ,7891000008072,,17891000006723,,,,,Não
NESTLE,413048,NESCAFE TRADICAO 12x200g BR             ,2101.11.10      ,7891000304808,,17891000030483,,,,,Não
NESTLE,413067,NESCAFE ORIGINAL Sachet 24x50g XW       ,2101.11.10      ,7891000306703,,17891000030674,118,NESCAFE,125,NESCAFE SACHET,Sim
NESTLE,413110,NESCAFE CLASSIC Sachet 16 48x1 8g  XP   ,2101.11.10      ,7891000311004,7891000311011,17891000031107,,,,,Não
NESTLE,413113,NESCAFE CLASSIC Lata 24x50g XG          ,2101.11.10      ,7616100261086,,17891000031138,,,,,Não
NESTLE,413121,NESCAFE CLASICO Sachet 24x50g XP        ,2101.11.10      ,88169004237,,88169030267,,,,,Não
NESTLE,413140,NESCAFE CLASSIC Bolsa 6x500g XW         ,2101.11.10      ,7891000314005,,17891000031404,,,,,Não
NESTLE,413152,NESCAFE Matinal Sachet 24x50g XW        ,2101.11.10      ,7891000315200,,17891000031527,118,NESCAFE,125,NESCAFE SACHET,Sim
NESTLE,413187,NESCAFE CLASSIC Vidro 24x50g XG         ,2101.11.10      ,7616100708802,,7616100747214,,,,,Não
NESTLE,413188,NESCAFE CLASSIC Vidro 24x100g XG        ,2101.11.10      ,7616100594580,,7616100179343,,,,,Não
NESTLE,413189,NESCAFE CLASSIC Vidro 12x200g XG        ,2101.11.10      ,7616100796830,,7616100294671,,,,,Não
NESTLE,413205,BONO Biscoito Rech Choc C C 10x800g BR  ,1905.31.00      ,7891000017098,,7891000017104,,,,,Não
NESTLE,413206,NEGRESCO Biscoito Rech C C 10x800g BR   ,1905.31.00      ,7891000017111,,7891000017128,,,,,Não
NESTLE,413221,SALCLIC Bisc ORIGINAL MP C C 12x540g BR ,1905.31.00      ,7891000017395,,7891000017401,,,,,Não
NESTLE,413222,SALCLIC Bisc Integral MP C C 12x540g BR ,1905.31.00      ,7891000017418,,7891000017425,,,,,Não
NESTLE,413225,BONO Biscoito Rech Choc MP C C 24x240gBR,1905.31.00      ,7891000017470,,7891000017487,,,,,Não
NESTLE,413226,NEGRESCO Biscoito Rech MP C C 24x240g BR,1905.31.00      ,7891000017494,,7891000017500,,,,,Não
NESTLE,413240,NESCAFE Cappuccino Bolsa NPro 6x1kg XW  ,2101.11.90      ,7891000000014,,17891000000011,,,,,Não
NESTLE,413247,CLASSIC Amendoim Ovo Pascoa 12x375g BR  ,1806.90.00      ,7891000016541,,7891000016558,,,,,Não
NESTLE,413251,NESCAFE ORIGINAL Vending NPro 6x500g BR ,2101.11.10      ,7891000006658,,17891000005412,,,,,Não
NESTLE,413252,ESPECIALIDADES Mini Ovos 24x230g BR     ,1806.90.00      ,7891000017050,,7891000017067,,,,,Não
NESTLE,413262,TOSTINES Biscoito Agua e Sal 10x800g BR ,1905.31.00      ,7891000018705,,7891000018712,,,,,Não
NESTLE,413263,NESCAFE CLASICO Sachet 288x8g XI        ,2101.11.10      ,88169004978,,88169050258,,,,,Não
NESTLE,413288,NESCAFE Com Leite 12x330g N1 BR         ,2101.11.90      ,7891000006290,,17891000005238,118,NESCAFE,124,NESCAFE MIXES,Sim
NESTLE,413318,FITNESS Cereal Matinal 20x300g XW       ,1904.10.00      ,7891000002131,,17891000001933,,,,,Não
NESTLE,413335,NESTLE CORN FLAKES Cer Mat 20x240g BR   ,1904.10.00      ,7891000002186,,17891000001988,107,CEREAIS MATINAIS,45,DEMAIS CEREAIS MATINAIS,Sim
NESTLE,413349,NESFIT Cereal Matinal 20x300g BR        ,1904.10.00      ,7891000001516,,17891000001315,107,CEREAIS MATINAIS,48,NESFIT,Sim
NESTLE,413356,MOCA FLAKES Cereal Matinal 20x330g BR   ,1904.10.00      ,7891000006634,,17891000005399,107,CEREAIS MATINAIS,45,DEMAIS CEREAIS MATINAIS,Sim
NESTLE,413369,NESQUIK Cereal Matinal Granel 10Kg AR   ,1904.10.00      ,17891000006488,,                  ,,,,,Não
NESTLE,413385,NESTUM Cereal Trg Mac Snflk 24x200g XU  ,1901.10.90      ,7891000017791,,7891000017807,,,,,Não
DPA,413400,NESTLE Bi Iogurte Morango 24x150g BR    ,0403.10.00EX01  ,7891000340004,,17891000034009,,,,,Não
NESTLE,413522,NESTLE Chocolate Mousse NPro 8x500g BR  ,1806.90.00      ,7891000010945,,17891000008932,524,04-NP Sobremesas,2,04b-Demais Sobremesas,Sim
NESTLE,413695,SNOW FLAKES Cereal Matinal 14x620g BR   ,1904.10.00      ,7891000369500,,17891000036959,107,CEREAIS MATINAIS,49,SNOW,Sim
NESTLE,413701,NESCAU Achoc Po 48x200g XR              ,1806.90.00EX01  ,7891000370100,,17891000037017,,,,,Não
NESTLE,413724,NESCAU Caixa NPro 3x3kg XR              ,1806.90.00EX01  ,7891000372401,,17891000037246,526,06-NP Standard,1,06a-Achoc Po,Sim
NESTLE,413725,NESCAUAchocolatadoPoSachetNPro6x1kgXW   ,1806.90.00EX01  ,7891000372500,,17891000037253,526,06-NP Standard,1,06a-Achoc Po,Não
NESTLE,413752,NESQUIK Chocolate 24x400g JP            ,1806.90.00EX01  ,4902201079037,,14902201079034,,,,,Não
NESTLE,413796,NESCAU Bebida Lactea 12kg BR            ,2202.99.00EX01  ,7891000379707,,17891000037963,,,,,Não
NESTLE,413829,NESQUIK Morango Lata 24x400gXW          ,1702.90.00      ,7891000004616,,17891000003784,,,,,Não
NESTLE,413867,NESQUIK Achoc Po Choc Lata 24x400g XR   ,1806.90.00EX01  ,7891000386309,,17891000038670,,,,,Não
NESTLE,413902,BONO Bisc Recheado Chocolate 60x140g BR ,1905.31.00      ,7891000018750,,7891000018767,,,,,Não
NESTLE,413903,BONO Bisc Recheado Morango 60x140g BR   ,1905.31.00      ,7891000018774,,7891000018781,,,,,Não
NESTLE,413905,BONO Bisc Rech Doce de Leite 60x140g BR ,1905.31.00      ,7891000018798,,7891000018804,,,,,Não
NESTLE,413918,Leitelho em Po 25kg BR                  ,0403.90.00      ,7891000018569,,,,,,,Não
NESTLE,413919,Leite em Po Integral 25kg BR            ,0402.21.10      ,7891000018576,,,,,,,Não
NESTLE,413920,Leite em Po Desnatado 25kg BR           ,0402.21.20      ,7891000018545,,,,,,,Não
NESTLE,413921,Butter Oil 210kg BR                     ,0405.90.10      ,7891000018552,,                  ,,,,,Não
NESTLE,413930,NEGRESCO Bisc Rech Ice Mint 40x200g BR  ,1905.31.00      ,7891000019023,,7891000019344,,,,,Não
NESTLE,413996,NESTEA Sabor Limao NPro 6x1kg XR        ,2101.20.10      ,7891000399606,,17891000039967,,,,,Não
NESTLE,414024,NESTLE Chocolate ao Leite 4 10x200g  XI ,1806.32.10      ,7891000402405,7891000402412,17891000040246,,,,,Não
NESTLE,414050,SENSACAO Chocolate 12 24x38g  BR        ,1806.31.10      ,7891000405000,7891000405017,17891000040505,108,CHOCOLATES NESTLE,60,TABLETES NESTLE,Sim
NESTLE,414051,SENSACAO Chocolate Morango 30x114g BR   ,1806.31.10      ,7891000405109,,17891000040512,,,,,Não
NESTLE,414057,MOCA Chocolate 12 24x38g  BR            ,1806.31.10      ,7891000405703,7891000405710,17891000040574,108,CHOCOLATES NESTLE,60,TABLETES NESTLE,Sim
NESTLE,414093,MAGGI Caldo Costilla 12 10x57g  XW      ,2104.10.11      ,7891000019832,7891000019849,7891000019825,,,,,Não
NESTLE,414100,MAGGI Caldo Bacon 12 10x57g  XW         ,2104.10.11      ,7891000019801,7891000019818,7891000019856,,,,,Não
NESTLE,414109,SUFLAIR Chocolate ao Leite 12x21x50g BR ,1806.32.10      ,7891000414002,7891000005156,17891000004194,,,,,Não
NESTLE,414152,CRUNCH Chocolate Branco 8 24x40g  XI    ,1704.90.10      ,28000150884,28000150860,10028000150881,,,,,Não
NESTLE,414169,CRUNCH Single Chocolate 10 36x1.55 oz US,1806.32.10      ,28000131708,28000131791,10028000131705,,,,,Não
NESTLE,414216,CHOKITO Chocolate 18 30x32g  BR         ,1806.90.00      ,7891000462300,7891000003299,17891000002930,108,CHOCOLATES NESTLE,54,CANDY BARS NESTLE,Sim
NESTLE,414222,BONO Biscoito Rech DDL C C 10x800g BR   ,1905.31.00      ,7891000020579,,7891000020586,,,,,Não
NESTLE,414246,PRESTIGIO Biscoito Recheado 50x165g BR  ,1905.31.00      ,7891000020814,,7891000020821,,,,,Não
NESTLE,414247,GALAK Biscoito Recheado 50x165g BR      ,1905.31.00      ,7891000020791,,7891000020807,,,,,Não
DPA,414255,CHAMYTO Blactea Mor Cer Choc 24x130g BR ,0403.90.00EX01  ,7891000020890,,7891000020906,,,,,Não
NESTLE,414288,GALAK Chocolate 30x30g BR               ,1704.90.10      ,7891000428801,7891000428818,17891000042882,,,,,Não
NESTLE,414295,MAGGI Sopao Sp Legumes 24x200g BR       ,2104.10.11      ,7891000021514,,7891000021521,117,MAGGI,118,SOPAO,Não
NESTLE,414304,MUCILON Milho 18x400g PR 400 380 BR     ,1901.10.90      ,7891000021439,,7891000021446,,,,,Não
FRONERI,414343,NESTLE Picole Coco 36x58g BR            ,2105.00.10      ,7891000021743,,7891000021750,,,,,Não
NESTLE,414345,CRUNCH em Pedacos NPro 24x500 XI        ,1806.90.00      ,7891000434505,,17891000043452,,,,,Não
NESTLE,414380,PASSATEMPO Bichos Rech Choc 50x165g BR  ,1905.31.00      ,7891000021934,,7891000021941,,,,,Não
NESTLE,414381,PASSATEMPO Bisc Leite Regular 40x180g BR,1905.31.00      ,7891000021897,,7891000021903,,,,,Não
NESTLE,414382,PASSATEMPO Bisc Leite Choc 40x180g BR   ,1905.31.00      ,7891000021910,,7891000021927,,,,,Não
NESTLE,414385,PASSAT Bisc Bichos Rech Mrg 50x165g BR  ,1905.31.00      ,7891000021972,,7891000021989,,,,,Não
NESTLE,414409,NESTLE Cobertura de Chocolate 8x500g XI ,1806.32.10      ,7891000440902,,17891000044091,108,CHOCOLATES NESTLE,55,COBERTURAS NESTLE,Não
NESTLE,414417,MAGGI Caldo Costela 30 24x19g  XW       ,2104.10.11      ,7891000022344,7891000022351,7891000022368,,,,,Não
NESTLE,414422,NESTLE Cob Choc Mamgo NPro 6x2 3kg XR   ,1806.20.00      ,7891000442203,,17891000044220,522,02-NP Chocolates,1,02a-Cobertura Regular,Não
NESTLE,414425,NESTLE Cob Choc Marfim NPro 6x2 3kg XR  ,1704.90.10      ,7891000442500,,17891000044251,522,02-NP Chocolates,1,02a-Cobertura Regular,Não
NESTLE,414445,NESTLE 80 20 Choc Cob Npro Box 1kg XR   ,1806.32.10      ,,,,,,,,Não
NESTLE,414450,NESTLE Cob Chocolate NPro 10x1kg XR     ,1806.32.10      ,7891000000618,,17891000000493,,,,,Não
NESTLE,414452,NESTLE Cob Choc Marfim NPro 10x1kg XR   ,1704.90.10      ,7891000000632,,17891000000516,,,,,Não
NESTLE,414453,NESTLE Cob Hidrogenada NPro 10x1kg XR   ,1806.32.20      ,7891000000649,,17891000000523,,,,,Não
